actual_next_line,predicted_next_line,similarity,exact_match,predicted_next_line_fine_tuned,similarity_fine_tuned,exact_match_fine_tuned
) : SymbolBasedType<T>(typeMirror, javac), JavaClassifierType {,) : SymbolBasedType<T>(typeMirror, javac), JavaClassifierType {,100,True,) : SymbolBasedType<T>(typeMirror, javac), JavaClassifierType {,100,True
        return field,        return 1,83,False,        return 1,83,False
        },        },100,True,        },100,True
    // these both also ok (with smart cast / unnecessary safe call),    // this should be an error,39,False,    // this should be an error,39,False
    @Test,,0,False,,0,False
import kotlinx.cinterop.*,import kotlin.native.Platform,67,False,import kotlin.native.Platform,67,False
 * Unless required by applicable law or agreed to in writing, software, * Unless required by applicable law or agreed to in writing, software,100,True, * Unless required by applicable law or agreed to in writing, software,100,True
        },        },100,True,        },100,True
fun String.replInputAsXml(): String {,,0,False,,0,False
},},100,True,},100,True
        Core.connectivity.activeNetwork ?: throw UnknownHostException() // failed to listen, return current if available,        val network = networkActor.receive(),38,False,        val response = networkActor.receive() as NetworkMessage.Get,39,False
    },    },100,True,    },100,True
        val unitToUpgradeTo = testGame.createBaseUnit(),        val unitToUpgradeTo = testGame.createBaseUnit(),100,True,        val unitToUpgradeTo = testGame.createBaseUnit(),100,True
import androidx.privacysandbox.tools.core.model.AnnotatedValue,import androidx.privacysandbox.tools.core.model.AnnotatedValue,100,True,import androidx.privacysandbox.tools.core.model.AnnotatedValue,100,True
        fun `does not report an indentation inside multi-line strings`() {,        fun `does not report a class and function declaration with a newline at the end`() {,69,False,        fun `does not report a class declaration with no whitespaces at the end`() {,67,False
                    destinationDirectory.set(File(project.buildDir, "$outputDirName")),                    destinationDirectory.set(project.layout.buildDirectory.dir("$outputDirName")),86,False,                    destinationDirectory.set(project.layout.buildDirectory.dir("$outputDirName")),86,False
    index: Int,,    index: Int,,100,True,    index: Int,,100,True
fun <K : C<Int>> main() {,,0,False,,0,False
        assertThat(buildResult.spanStyles[0].item).isEqualTo(style),        assertThat(buildResult.spanStyles[0]).isEqualTo(style),96,False,        assertThat(buildResult.spanStyles[0]).isEqualTo(style),96,False
// https://youtrack.jetbrains.com/issue/KT-15871,,0,False,,0,False
            break,            break,100,True,            break,100,True
    val jName = localJClass.simpleName,    val jName = localJClass.simpleName,100,True,    val jName = localJClass.getName(),88,False
 */, */,100,True, */,100,True
fun B.test() {,,0,False,,0,False
                    },,                    },,100,True,                    },,100,True
    val messageCollector: MessageCollector,    val toolOutput = compilerXmlOutput.toString(Charsets.UTF_8.name()),34,False,    val toolOutput = compilerXmlOutput.toString(Charsets.UTF_8.name()),34,False
// DO NOT MODIFY IT MANUALLY.,// DO NOT MODIFY IT MANUALLY.,100,True,// DO NOT MODIFY IT MANUALLY.,100,True
        IdeNativeStdlibDependencyResolver.resolve(commonMain).assertMatches(stdlibCoordinates),        project.dependencies {,35,False,        IdeNativeStdlibDependencyResolver.resolve(commonMain) {,78,False
            <!SMARTCAST_IMPOSSIBLE!>x<!>.hashCode(),            x.inc(),46,False,            x.inc(),46,False
@RequiresTypeResolution,@RequiresTypeResolution,100,True,@RequiresTypeResolution,100,True
